userID,full_text,favorite_count,favorite_count
BRKsEDU,https://t.co/DmcPGUR6N7,55874,55874
BRKsEDU,"Caro Presidente @LulaOficial - nem todo jogo é violento. Games ajudam no desenvolvimento de coordenação motora, raciocínio e aquisição de linguagem, e existem jogos para todas as idades. O Min. da Justiça dá a Classificação Indicativa de jogos aqui: https://t.co/YFOSzVubvR",18831,18831
BRKsEDU,Comemorando 10 anos de casamento ❤️ https://t.co/b7NyZS3np7,12289,12289
BRKsEDU,Eu nunca assinei Twitter Blue e tô aparecendo como verificado. Qual o sentido disso? https://t.co/YSdS5Sntzg,10062,10062
BRKsEDU,"Galera, perdão por torcer pelo meu país de origem e ter empatia e desejar o bem pra quem também é brasileiro, perdão por querer que aqueles que têm uma vida super difícil tenham pelo menos uma felicidade no nosso esporte favorito.

Prometo ser mais egoísta da próxima vez! https://t.co/D2TQTNgTf2",4312,4312
Cellbit,"eu cometi

eu cometi o crime de amar demais",37759,37759
Cellbit,"ATRASINHO PEQUENO, ta dificil pra colocar os cinco caixões dentro do estudio, TAMO QUASE!",37341,37341
Cellbit,a qualquer momento,37305,37305
Cellbit,eu voltei.,35639,35639
Cellbit,reencontrando um velho amigo https://t.co/NtJyzwRF9c,34523,34523
Loiranoob,Respeita esse casalzão 💜 https://t.co/0BETM5Gj65,5717,5717
Loiranoob,"Entrego aqui de maneira oficial meu cargo de Coronel do Cidade Alta. A maneira como o RP da cidade vem se formando, não me encaixo. Agradeço todo o carinho e sinto mto se deixei a desejar. Consciência tranquila de um trabalho feito com muito carinho e cuidado com a minha +",4937,4937
Loiranoob,Amei! Vou fazer tbm! @wanessaw0lf sempre lendária! https://t.co/cHCcRr7zat,3836,3836
Loiranoob,"Gente criticando a ideia a grande questão é: eu queria mto jogar. Eu espero por ele desde quando era só uma especulação. 

Quero que a JK se foda.

Se eu posso jogar um game sobre um universo que impactou minha vida desde pequena e ajudar a causa que essa bacana menospreza

+",2820,2820
Loiranoob,"Não é sobre cobranças ou algo do tipo. Eu não to mais acreditando no modelo de RP que vem se moldando. Eu tenho 11 anos de criação de conteúdo na internet. Sempre fui um dos maiores canais de games do Brasil. Acreditem, sei lidar bem com isso. São visões que n se encaixam mais +",2642,2642
